#GRB	Trigger Julian Date	T90	Redshift	Redshift reference
180111A	2458130.1959	50.6	--	--
180102A	2458121.15954	10.8	--	--
171222A	2458110.18402	174.8	2.409 (GTC: absorption)	 GCN 22272 (GTC)
171216A	2458103.62985	30.0	--	--
171212A	2458099.99816	320.0	--	--
171211A	2458098.89412	2.32	--	--
171209A	2458097.11546	161.7	--	--
171205A	2458092.80605	189.4	0.0368 (VLT: emission & absorption)	 GCN 22180 (VLT)<br><strong>Host:</strong> GCN 22178
171123A	2458081.0936	58.5	--	--
171120A	2458078.05558	64.0	--	--
171115A	2458073.28565	38.2	--	--
171103A	2458061.46565	3.9	--	--
171102B	2458060.13922	17.8	--	--
171027A	2458053.84938	96.6	--	--
171020A	2458047.46331	41.9	1.87 (NOT: absorption)	 GCN 22039 (NOT)
171011A	2458038.27277	2.27	--	--
171010B	2458037.37459	30.4	--	--
171007A	2458033.99836	105.0	--	--
171004A	2458030.83023	107.1	--	--
171001A	2458028.26782	22.8	--	--
170921A	2458018.10333	28.9	--	--
170912B	2458008.77345	19.6	--	--
170912A	2458008.56546	21.9	--	--
170906C	2458002.80992	48.4	--	--
170906A	2458002.52999	88.1	--	--
170903A	2458000.03411	29.2	0.886 (GTC: emission from host)	 GCN 21799 (GTC)<br><strong>Host:</strong> GCN 21799 (GTC)
170827A	2457992.71699	94.0	--	--
170823A	2457989.42833	69.4	--	--
170822A	2457987.88323	64.0	--	--
170813A	2457978.55088	75.5	--	--
170810A	2457976.41784	152.4	--	--
170807A	2457973.41399	48.5	--	--
170804A	2457970.00112	43.4	--	--
170803A	2457969.22948	3.82	--	--
170728B	2457963.46064	47.7	--	--
170728A	2457962.78713	1.25	--	--
170724A	2457958.53384	98.0	--	--
170711A	2457946.43084	31.3	--	--
170710B	2457944.84035	54.4	--	--
170710A	2457944.53176	32.6	--	--
170705A	2457939.61513	217.3	2.010 (GTC: absorption)	 GCN 21298 (GTC)
170629A	2457934.03719	34.4	--	--
170626A	2457930.90096	12.94	--	--
170604A	2457909.2978	26.7	1.329 (GTC: absorption)	 GCN 21197 (GTC)
170531B	2457905.41816	164.13	2.366 (GTC: absorption)<br>Consistent with GTC results (WHT)	 GCN 21177 (GTC); GCN 21209 (WHT)
170531A	2457905.33856	26.74	--	--
170526A	2457900.06606	7.9	--	--
170524B	2457897.94491	46.4	--	--
170524A	2457898.32587	0.1	--	--
170519A	2457892.7153	216.4	0.818 (GTC: absorption)	 GCN 21119 (GTC)
170516A	2457890.03426	36.78	--	--
170428A	2457871.88451	0.2	--	--
170419B	2457863.39845	77.2	--	--
170419A	2457863.06019	8.18	--	--
170405A	2457849.27764	164.7	3.510 (GTC: absorption)	 GCN 20990 (GTC)
170331A	2457843.56998	17.57	--	--
170330A	2457843.4374	144.73	--	--
170325A	2457837.83123	0.3	--	--
170318B	2457831.14435	160.0	--	--
170318A	2457831.00829	133.7	--	--
170317A	2457829.90693	11.94	--	--
170311A	2457823.83937	6.32	--	--
170307A	2457820.35024	56.92	--	--
170306A	2457818.79597	17.8	--	--
170208B	2457793.44002	128.07	--	--
170208A	2457793.25782	7.45	--	--
170206B	2457791.41487	13.36	--	--
170205A	2457790.02719	26.1	--	--
170203A	2457787.50256	45.2	--	--
170202A	2457787.26947	46.2	3.645 (GTC: absorption and emission)<br>3.65 (Xinglong: absorption)<br>3.645 (VLT: absorption and emission)	 GCN 20584 (GTC); GCN 20588 (Xinglong); GCN 20589 (VLT); GCN 20590 (VLT)
170127B	2457781.13435	0.51	--	--
170127A	2457781.09809	62.26	--	--
170126A	2457779.97965	9.5	--	--
170115A	2457769.36815	48.0	--	--
170113A	2457766.9195	20.66	1.968 (VLT: absorption)	 GCN 20458 (VLT)
170112A	2457765.58472	0.06	--	--
170111A	2457764.52324	29.9	--	--
170101A	2457754.6014	2.43	--	--
161224A	2457747.4261	47.04	--	--
161220A	2457742.8566	6.0	--	--
161219B	2457742.28378	6.94	0.1475 (VLT: absorption)<br> 0.1475 (GTC: absorption)	 GCN 20321 (VLT)
161218A	2457740.65806	7.1	--	--
161217A	2457739.56081	18.2	--	--
161214B	2457737.22234	24.8	--	--
161129A	2457721.79976	35.53	0.645 (GTC: emission from host))	 GCN 20245 (GTC)<br><strong>Host:</strong> GCN 20244 (NOT)
161117B	2457709.90953	152.51	--	--
161117A	2457709.56639	125.7	1.549 (VLT: absorption)	 GCN 20180 (VLT)
161113A	2457706.22947	42.6	--	--
161108A	2457700.6476	105.1	1.159 (NOT: absorption & emission)	 GCN 20150 (NOT)<br><strong>Host:</strong> GCN 20150 (NOT)
161105A	2457697.7035	177.3	--	--
161104A	2457696.90447	0.1	--	--
161022A	2457683.61366	7.3	--	--
161017A	2457679.24434	216.3	2.0127 (GTC: absorption)<br>2.01 (TNG: absorption)	 GCN 20069 (GTC); GCN 20077 (GTC); GCN 20078 (TNG)
161014A	2457676.02178	18.3	2.823 (GTC: absorption)<br>2.823 (VLT: absorption)	 GCN 20043 (GTC); GCN 20061 (VLT)
161011A	2457672.74646	4.3	--	--
161007A	2457669.39286	201.7	--	--
161004B	2457666.46388	15.9	--	--
161001A	2457662.54532	2.6	--	--
160927A	2457659.25334	0.48	--	--
160917A	2457648.97939	16.0	--	--
160905A	2457636.9715	64.0	--	--
160827A	2457628.15747	13.3	--	--
160826A	2457626.75877	52.6	--	--
160824A	2457625.4739	99.3	--	--
160821B	2457622.43696	0.48	--	--
160815A	2457615.98971	8.6	--	--
160804A	2457604.56443	144.2	0.736 (VLT: absorption & emission)	 GCN 19773 (VLT)<br><strong>Host:</strong> GCN 19768 (MASTER-SAAO); GCN 19770 (TNG)
160801A	2457601.89479	2.85	--	--
160726A	2457595.56536	0.7	--	--
160716A	2457585.54757	6.39	--	--
160714A	2457583.5967	0.35	--	--
160709A	2457579.32573	4.8	--	--
160705B	2457575.37647	54.4	--	--
160703A	2457573.007	44.4	The detection in all UVOT filters is consistent with a redshift of z < ~1.5	#Problem parsing ref#
160630A	2457569.66955	29.5	--	--
160625A	2457565.4448	53.9	--	--
160624A	2457563.97709	0.2	0.483 (Gemini-North: emission, possible host)	 GCN 19565 (Gemini-North)<br><strong>Host:</strong> GCN 19565 (Gemini-North)
160611A	2457551.40317	34.1	--	--
160607A	2457546.96806	33.4	--	--
160601A	2457541.11322	0.12	--	--
160525B	2457533.89244	0.29	--	--
160519A	2457527.51219	35.57	--	--
160506A	2457514.64531	254.5	--	--
160504A	2457513.31293	53.9	--	--
160501A	2457509.52814	118.0	--	--
160425A	2457504.47652	304.58	0.555 (VLT: emission)	 GCN 19350 (VLT)<br><strong>Host:</strong> GCN 19454 (CTIO)
160424A	2457502.99244	6.3	--	--
160419A	2457498.13654	8.8	--	--
160417A	2457495.68311	15.0	--	--
160412A	2457490.68326	31.6	--	--
160411A	2457489.5617	0.36	--	--
160410A	2457488.71514	8.2	1.717 (VLT: absorption)<br>1.72 (Keck-I: absorption)	 GCN 19274 (VLT); GCN 19278 (Keck-I)
160408A	2457486.76786	0.32	--	--
160327A	2457474.88619	28.0	4.99 (GTC: absorption, probably redshift)	 GCN 19245 (GTC)
160325A	2457472.7917	64.9	--	--
160321A	2457469.16351	33.6	--	--
160314A	2457461.98115	8.73	0.726 (VLT: emission from host)	 GCN 19192 (VLT)
160313A	2457460.6092	42.6	--	--
160303A	2457450.95465	5.0	<2.3 (VLT, redshift limit)	 GCN 19154 (VLT)<br><strong>Host:</strong> GCN 19160 (GTC)
160228A	2457447.23231	98.36	--	--
160227A	2457446.31398	316.5	2.38 (NOT: absorption)	 GCN 19109 (NOT)
160225A	2457444.09787	157.0	--	--
160223A	2457441.57251	127.0	--	--
160220B	2457438.96589	31.4	--	--
160220A	2457438.55932	8.3	--	--
160216A	2457435.29897	11.0	--	--
160203A	2457421.59248	20.2	3.52 (VLT: absorption)	 GCN 18982 (VLT)
160131A	2457418.84758	325.0	0.97 (TNG: absorption)<br>0.972 (GTC: absorption)<br>0.97 (Xinglong: absorption)	 GCN 18965 (TNG); GCN 18966 (GTC); GCN 18969 (Xinglong)
160127A	2457414.86328	6.16	--	--
160123A	2457410.87384	3.95	--	--
160121A	2457409.07682	12.0	1.960 (GTC: absorption)	 GCN 18925 (GTC)
160119A	2457406.62926	116.0	--	--
160117A	2457404.92615	118.58	--	--
160104A	2457391.97512	16.2	--	--
151229A	2457385.78503	1.78	--	--
151228B	2457385.44947	48.0	--	--
151228A	2457384.62861	0.27	--	--
151215A	2457371.62602	17.8	2.59 (NOT: absorption)	 GCN 18696 (NOT)
151210A	2457366.63398	94.9	--	--
151205B	2457362.40502	1.4	--	--
151205A	2457362.15694	62.8	--	--
151127A	2457353.88112	0.19	--	--
151118A	2457344.62951	23.4	--	--
151114A	2457340.91637	4.86	--	--
151112A	2457339.07278	19.32	4.1 (MPG: photometric)	 GCN 18603 (MPG)
151111A	2457337.85652	76.93	3.5 (MPG: photometric)	 GCN 18598 (MPG)
151031A	2457326.7434	5.0	1.167 (VLT: absorption)	 GCN 18540 (VLT)
151029A	2457324.82615	8.95	1.423 (VLT: absorption)	 GCN 18524 (VLT)
151027B	2457323.44491	80.0	4.063 (VLT: absorption)	 GCN 18505 (VLT); GCN 18506 (VLT)
151027A	2457322.66556	129.69	0.38 (XRT: tentative)<br>0.81 (Keck: absorption)<br>0.81 (GMG: absorption)	 GCN 18483 (XRT); GCN 18487 (Keck); GCN 18493 (GMG)
151023A	2457319.07157	10.66	--	--
151022A	2457318.08787	116.7	--	--
151021A	2457316.56194	110.2	2.330 (VLT: absorption)	 GCN 18426 (VLT)
151006A	2457301.91321	203.9	--	--
151004A	2457300.2563	128.4	--	--
151001B	2457297.27056	109.0	--	--
151001A	2457297.12803	8.94	--	--
150925A	2457290.67324	121.0	--	--
150915A	2457281.38778	164.7	1.968 (VLT: absorption)	 GCN 18318 (VLT)
150911A	2457277.27802	7.2	--	--
150910A	2457275.87833	112.2	1.359 (Lick: absorption)<br>1.360 (GTC: absorption)	 GCN 18273 (Lick); GCN 18274 (GTC)
150907B	2457273.4767	62.0	--	--
150901A	2457267.14346	64.0	--	--
150831B	2457266.43017	6.2	--	--
150831A	2457265.94042	1.15	--	--
150821A	2457255.90556	172.1	0.755 (VLT: absorption)	 GCN 18187 (VLT)
150819A	2457253.53481	52.1	--	--
150818A	2457252.9837	123.3	0.282 (GTC: emission from possible host)	 GCN 18177 (GTC)
150817A	2457251.58696	38.8	--	--
150811A	2457245.67094	34.0	--	--
150801B	2457236.44569	426.0	--	--
150728A	2457232.03554	0.83	--	--
150727A	2457231.29308	88.0	0.313 (VLT: emission)	#Problem parsing ref#
150724A	2457227.74068	280.0	--	--
150722A	2457225.9152	67.0	--	--
150720A	2457224.08483	151.0	--	--
150716A	2457219.79633	44.0	--	--
150711A	2457215.26601	64.2	--	--
150710B	2457213.83721	15.0	--	--
150710A	2457213.51947	0.15	--	--
150626B	2457200.34921	48.0	--	--
150626A	2457199.59223	144.0	--	--
150616A	2457190.45091	599.5	--	--
150615A	2457188.69615	27.6	--	--
150607A	2457180.82997	26.3	--	--
150530A	2457172.98771	6.62	--	--
150527A	2457169.78397	112.0	--	--
150513A	2457156.35508	162.0	--	--
150430A	2457142.51491	107.1	--	--
150428B	2457140.63337	130.9	--	--
150428A	2457140.56296	53.2	--	--
150424A	2457136.82149	91.0	<3 (GTC)	 GCN 17758 (GTC)
150423A	2457135.76949	0.22	1.394 (VLT: absorption, tentative)	 GCN 17755 (VLT)
150413A	2457126.07984	263.6	3.2 (CAHA: absorption)<br>3.139 (Asiago: absorption)	 GCN 17697 (CAHA); GCN 17710 (Asiago)
150403A	2457116.41269	40.9	2.06 (VLT: absorption)	 GCN 17672 (VLT)
150402A	2457114.52623	14.0	--	--
150323C	2457105.21205	159.4	--	--
150323A	2457104.61752	149.6	0.593 (Keck I: absorption and emission)	 GCN 17616 (Keck I)
150318A	2457099.79506	83.88	--	--
150317A	2457098.68243	23.29	--	--
150314A	2457095.70505	14.79	1.758 (GTC: absorption)	 GCN 17583 (GTC)
150309A	2457091.46049	242.0	--	--
150302A	2457083.73792	23.74	--	--
150301B	2457083.3181	12.44	1.5169 (VLT: absorption)	 GCN 17523 (VLT)
150301A	2457082.54477	0.48	--	--
150222A	2457076.20602	15.9	--	--
150213B	2457067.43854	181.0	--	--
150212A	2457065.95647	11.4	--	--
150211A	2457064.99457	13.6	--	--
150206A	2457060.10419	83.2	2.087 (VLT: absorption)	 GCN 17420 (VLT)
150204A	2457057.77162	12.0	--	--
150203A	2457056.673	25.8	--	--
150202A	2457056.4653	25.7	--	--
150201A	2457055.07429	26.1	--	--
150120B	2457042.80689	24.3	--	--
150120A	2457042.62345	1.2	0.460 (Gemini-North: emission, possible host)	 GCN 17358 (Gemini-North)
150110B	2457033.42257	10.6	--	--
150103A	2457026.33493	49.1	--	--
150101B	2457024.14097	0.018	0.093 (GTC: emission from host)	 GCN 17278 (GTC)
150101A	2457023.77006	0.06	--	--
141229A	2457020.99238	7.0	--	--
141225A	2457017.45911	40.24	0.915 (GTC: absorption)	 GCN 17234 (GTC)
141221A	2457012.83831	36.9	1.452 (Keck II: absorption, tentative)	 GCN 17228 (Keck II)
141220A	2457011.75199	7.21	1.3195 (GTC: absorption)	 GCN 17198 (GTC)
141212B	2457004.05819	10.5	--	--
141212A	2457004.00973	0.3	0.596 (Gemini-North: emission from likely host)	 GCN 17177 (Gemini-North)<br><strong>Host:</strong> GCN 17177 (Gemini-North)
141205A	2456996.837	1.1	--	--
141130A	2456992.46593	62.9	--	--
141121A	2456982.66022	549.9	1.47 (Keck I: absorption)	 GCN 17081 (Keck I)
141109B	2456970.82476	54.2	--	--
141109A	2456970.743	200.0	2.993 (VLT: absorption)	 GCN 17040 (VLT)
141102A	2456964.03588	2.5	--	--
141031B	2456962.12274	16.0	--	--
141031A	2456961.80447	920.0	--	--
141026A	2456956.60892	146.0	3.35 (GTC: absorption, possible redshift)	 GCN 16968 (GTC)
141022A	2456952.5609	8.72	--	--
141020A	2456950.82545	15.55	--	--
141017A	2456948.26769	55.7	--	--
141015A	2456945.88402	11.0	--	--
141005A	2456935.71743	4.34	--	--
141004A	2456935.47285	3.92	0.57 (NOT: emission)<br>0.573 (GTC: emission)	 GCN 16891 (NOT), GCN 16902 (GTC)
140930B	2456931.32063	0.84	--	--
140927A	2456927.71888	6.26	--	--
140919A	2456920.13559	151.3	--	--
140916A	2456916.94707	80.1	--	--
140907A	2456908.17162	79.2	1.21 (GTC)	 GCN 16797 (GTC)
140903A	2456904.12535	0.3	0.351 (Gemini-North: absorption, tentative host redshift)	 GCN 16774 (Gemini-North)
140901B	2456901.76208	10.0	--	--
140828A	2456897.78766	18.8	--	--
140824A	2456893.86144	3.09	--	--
140818B	2456888.28074	18.1	--	--
140817A	2456886.79307	244.0	--	--
140730A	2456869.32212	41.3	--	--
140719B	2456858.36777	53.0	--	--
140719A	2456857.74578	48.0	--	--
140716A	2456854.93608	104.0	--	--
140713A	2456852.28038	5.3	--	--
140710A	2456848.92824	3.52	0.558 (Gemini-North: emission, host)	 GCN 16570 (Gemini-North)
140709B	2456848.13594	155.0	--	--
140709A	2456847.55117	98.6	--	--
140706A	2456845.31497	48.3	--	--
140703A	2456841.52589	67.1	3.14 (GTC: absorption)	 GCN 16505 (GTC)
140629A	2456838.09549	42.0	2.275 (BTA: absorption)<br>2.29 (TNG: absorption)	 GCN 16489 (BTA); CGN 16493 (TNG)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_479_1.pdf">GCN Report 479.1</a
140628A	2456837.0664	10.5	--	--
140626A	2456834.52293	16.4	--	--
140622A	2456830.90005	0.13	~0.959 (VLT: emission from host)	 GCN 16437 (VLT)<br><strong>Host:</strong> GCN 16437 (VLT)
140619A	2456827.98513	233.9	--	--
140614B	2456822.77652	49.8	--	--
140614A	2456822.54513	720.0	4.233 (VLT: absorption)	 GCN 16401 (VLT)
140611A	2456819.66046	1.9	--	--
140607A	2456816.21772	109.9	--	--
140606A	2456814.95709	0.34	--	--
140529A	2456806.89451	4.5	--	--
140521A	2456799.23215	9.88	--	--
140518A	2456795.88734	60.5	4.707 (Gemini-North: absorption)	 GCN 16301 (Gemini-North)
140516A	2456794.35479	0.19	--	--
140515A	2456792.88375	23.4	6.32 (Gemini-North: absorption)	 GCN 16269 (Gemini-North)
140512A	2456790.31376	154.8	0.725 (NOT: absorption)	 GCN 16310 (NOT)
140509A	2456786.59876	23.2	--	--
140506A	2456784.38028	111.1	0.889 (VLT: absorption, host)	 GCN 16217 (VLT)
140502A	2456779.8544	16.9	--	--
140430A	2456778.35667	173.6	1.60 (VLT: absorption)	 GCN16194 (VLT)
140428A	2456776.44502	17.42	~4.7 (Keck I: estimate)	 GCN 16181 (Keck I)
140423A	2456770.85547	134.0	3.26 (Gemini-North: absorption)	 GCN 16150 (Gemini-North)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_470_1.pdf">GCN Report 470.1</a
140419A	2456766.67142	94.7	3.956 (Gemini-North: absorption)	 GCN 16125 (Gemini-North)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_468_1.pdf">GCN Report 468.1</a
140414A	2456761.7545	0.7	--	--
140413A	2456760.50671	139.6	--	--
140412A	2456760.43112	39.6	--	--
140408A	2456756.05271	4.0	--	--
140402A	2456749.50701	0.031	--	--
140331A	2456747.74292	209.0	--	--
140323A	2456739.93277	104.9	--	--
140320A	2456736.59219	0.45	--	--
140318A	2456734.50633	8.43	1.02 (WHT: emission)	 GCN 17988 (WHT)
140311B	2456728.38506	70.0	--	--
140311A	2456728.37866	71.4	4.95 (Gemini-South: absorption)<br>~ 5 (NOT: absorption)<br>4.954 (Gemini-North)	 GCN 15961 (Gemini-South); GCN 15964 (NOT); GCN 15966 (Gemini-North)
140305A	2456722.12523	13.7	--	--
140304A	2456721.0573	15.6	5.283 (GTC: absorption)<br> 5.28 (NOT: absorption)	 GCN 15922 (GTC); GCN 15924 (NOT); GCN 15936 (GTC)
140302A	2456718.84234	87.5	--	--
140301A	2456718.14223	31.0	1.416 (VLT: absorption)	 GCN 15900 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_460_1.pdf">GCN Report 460.1</a
140215A	2456703.67164	84.2	--	--
140213A	2456702.30668	60.0	1.2076 (VLT: absorption)	 GCN 15831 (VLT)
140211A	2456700.01601	89.4	--	--
140209A	2456697.81316	21.3	--	--
140206A	2456694.8037	93.6	2.73 (NOT: absorption)<br>2.74 (TNG: absorption)	 GCN 15800 (NOT); GCN 15802 (TNG)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_466_1.pdf">GCN Report 466.1</a
140129B	2456687.03552	1.36	--	--
140129A	2456686.64166	2.99	--	--
140118A	2456675.56391	84.15	--	--
140114A	2456671.99838	139.7	3.0 (arXiv:1503.05323v1)	 arXiv:1503.05323v1
140108A	2456666.22132	94.0	--	--
140103A	2456660.52133	17.3	--	--
140102A	2456660.38723	65.0	--	--
131229A	2456655.77736	13.86	--	--
131227A	2456653.69781	18.0	~5.3 (Gemini-North)	 GCN 15624 (Gemini-North)
131226A	2456652.74142	7.2	--	--
131205A	2456631.88794	37.5	--	--
131202A	2456629.13344	30.4	--	--
131128A	2456625.12944	3.0	--	--
131127A	2456623.92471	92.1	--	--
131120A	2456617.10968	131.0	--	--
131117A	2456613.52366	11.0	4.18 (MPG: photometric)<br>4.042 (VLT: absorption)	 GCN 15493 (MPG)<br>GCN 15494 (VLT)
131105A	2456601.58662	112.3	1.686 (VLT: emission & absorption)	 GCN 15450 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_457_1.pdf">GCN Report 457.1</a
131103A	2456600.42182	17.3	0.599 (VLT: emission & absorption)	 GCN 15451 (VLT)<br><strong>Host:</strong> GCN 15445 (NOT, VLT)
131030A	2456596.37243	41.1	1.293 (NOT: absorption)<br>1.295 (GTC: absorption)	 GCN 15407 (NOT); GCN 15408 (GTC)
131024B	2456590.39966	64.0	--	--
131024A	2456590.01829	112.0	--	--
131018A	2456584.03319	73.22	--	--
131004A	2456570.40351	1.54	0.717 (Magellan: emission)<br>0.71 (TNG: emission)	 GCN 15307 (Magellan); GCN 15310 (TNG)
131002B	2456567.95449	39.1	--	--
131002A	2456567.78774	55.59	--	--
131001A	2456566.73431	4.9	--	--
130929A	2456564.90038	11.1	--	--
130919A	2456554.96347	97.3	--	--
130912A	2456547.8576	0.28	--	--
130831B	2456536.07522	37.8	--	--
130831A	2456536.04463	32.5	0.4791 (Gemini-North: absorption)	 GCN 15144 (Gemini-North)
130829A	2456533.73858	42.56	--	--
130816B	2456520.70391	10.0	--	--
130816A	2456520.57425	29.97	--	--
130812A	2456517.43255	7.6	--	--
130806A	2456510.61913	6.1	--	--
130803A	2456507.91866	44.0	--	--
130727A	2456501.19814	13.57	--	--
130725B	2456499.23574	10.0	--	--
130725A	2456498.98416	101.8	--	--
130719A	2456492.74154	177.7	--	--
130708A	2456481.98824	9.0	--	--
130701A	2456474.67897	4.38	1.155 (VLT: absorption)	 GCN 14956 (VLT)
130627B	2456471.00058	28.6	--	--
130627A	2456470.87156	30.8	--	--
130626A	2456469.95212	0.16	--	--
130625A	2456468.79212	38.1	--	--
130623A	2456466.98802	15.0	--	--
130615A	2456458.90608	304.0	--	--
130612A	2456455.64053	4.0	2.006 (VLT: absorption)	 GCN 14882 (VLT)
130610A	2456453.63348	46.4	2.092 (VLT: absorption)	 GCN 14848 (VLT)
130609B	2456453.40185	210.6	--	--
130609A	2456452.62856	7.0	--	--
130608A	2456452.4683	151.38	--	--
130606A	2456450.37823	276.58	5.91 (GTC: absorption)<br>5.913 (MMT: absorption)<br>5.913 (VLT: absorption)	 GCN 14790 (GTC); GCN 14796 (GTC); GCN 14798 (MMT); GCN 14816 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_444_1.pdf">GCN Report 444.1</a
130605A	2456449.48729	12.6	--	--
130604A	2456447.7878	37.7	1.06 (Gemini-North: emission)	 GCN 14762 (Gemini-North)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_443_1.pdf">GCN Report 443.1</a
