#GRB	Trigger Julian Date	T90	Redshift	Redshift reference
130603B	2456447.15919	0.18	0.356 (GTC: absorption & emission)<br>0.356 (Magellan: emission, host)<br>0.356 (Gemini-South: emission)<br>0.3564 (VLT: absorption & emission)	 GCN 14744 (GTC); GCN (Magellan); GCN 14747 (GTC); GCN 14748 (Gemini-South); GCN 14757 (VLT)<br><strong>Host:</strong> GCN 14742 (WHT); GCN 14743 (NOT); GCN 14744 (GTC); GCN (Magellan); GCN 14747 (GTC); GCN 14748 (Gemini-South); GCN 14757 (VLT); GCN 14893 (HST)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_442_1.pdf">GCN Report 442.1</a
130603A	2456446.74968	76.0	--	--
130529A	2456441.96904	128.0	--	--
130528A	2456441.19541	59.4	--	--
130527A	2456440.09826	44.0	--	--
130521A	2456434.45088	11.0	--	--
130515A	2456427.55645	0.29	--	--
130514A	2456426.80117	204.0	3.6 (MPG/ESO: photometric)	 GCN 14634 (MPG/ESO)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_446_1.pdf">GCN Report 446.1</a
130511A	2456423.97971	5.43	1.3033 (Gemini-North: absorption)	 GCN 14621 (Gemini-North)
130508A	2456421.2145	42.0	--	--
130505A	2456417.84894	88.0	2.27 (Gemini-North: absorption)	 GCN 14567 (Gemini-North)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_429_1.pdf">GCN Report 429.1</a
130504A	2456416.5872	50.0	--	--
130502A	2456415.2434	3.0	--	--
130427B	2456410.05603	27.0	2.78 (VLT: tentative)	 GCN 14493 (VLT)
130427A	2456409.82497	162.83	0.34 (Gemini-North: absorption)<br>0.338 (NOT: absorption)<br>0.3399 (VLT: absorption)<br>0.340 (LBT: absorption)<br> 0.3399 (William Herschel: emission, host)<br> 0.3393 (BTA)	 GCN 14455 (Gemini-North); GCN 14478 (NOT); GCN 14491 (VLT); GCN 14605 (LBT); GCN 14617 (William Herschel); GCN 14669 (BTA)<br><strong>Host:</strong> GCN 14617 (William Herschel)
130420B	2456403.03925	10.2	--	--
130420A	2456402.81145	123.5	1.297 (GTC: absorption)	 GCN 14437 (GTC)
130419A	2456402.06284	75.7	--	--
130408A	2456391.41086	28.0	3.758 (VLT: absorption)<br>3.757 (Gemini-South)	 GCN 14365 (VLT); GCN 14366 (Gemini-South)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_439_1.pdf">GCN Report 439.1</a
130327A	2456378.5747	9.0	--	--
130315A	2456367.03162	233.4	--	--
130313A	2456365.17235	0.26	--	--
130216B	2456340.29042	3.7	--	--
130216A	2456340.42736	6.5	--	--
130215A	2456338.56354	65.7	0.597 (Lick Shane: absorption)<br>0.58 (GTC: derived)	 GCN 14207 (Lick Shane); GCN 14303 (GTC)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_420_1.pdf">GCN Report 420.1</a
130211A	2456334.65037	25.1	--	--
130206A	2456330.31699	128.0	--	--
130131B	2456324.2987	4.3	2.539 (Keck I: emission, host)	 GCB 14286 (Keck I)<br><strong>Host:</strong> GCB 14286 (Keck I)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_416_1.pdf">GCN Report 416.1</a
130131A	2456324.08081	51.6	--	--
130122A	2456315.48899	64.0	--	--
130102A	2456295.25756	77.5	--	--
121226A	2456288.29841	1.0	--	--
121217A	2456278.80402	778.0	--	--
121212A	2456273.78904	6.8	--	--
121211A	2456273.07433	182.0	1.023 (Keck I)	 GCN 14059 (Keck I)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_415_1.pdf">GCN Report 415.1</a
121209A	2456271.4161	42.7	--	--
121202A	2456263.68061	20.1	--	--
121201A	2456263.01785	85.0	3.385 (VLT: emission  & absorption)	 GCN 14035 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_404_1.pdf">GCN Report 404.1</a
121128A	2456259.71223	23.3	2.20 (Gemini North: absorption)	 GCN 14009 (Gemini North)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_406_1.pdf">GCN Report 406.1</a
121125A	2456256.85587	52.2	--	--
121123A	2456254.91853	317.0	--	--
121117A	2456248.8687	30.0	--	--
121108A	2456240.24142	89.0	--	--
121102A	2456233.60211	24.7	--	--
121031A	2456232.45174	226.0	--	--
121028A	2456228.71147	3.8	--	--
121027A	2456227.81422	62.6	1.773 (arXiv:1302.2352v1)<br>1.77 (Gemini-South: absorption)<br>1.773 (VLT: emission and absorption)	 GCN 13929 (Gemini-South); GCN 13930 (VLT); arXiv:1302.2352v1
121024A	2456224.62236	69.0	2.298 (VLT: absorption)	 GCN 13890 (VLT); GCN 13903 (EVLA)
121017A	2456218.30796	4.2	--	--
121014A	2456215.34162	80.0	--	--
121011A	2456211.9691	75.6	--	--
121001A	2456202.266	147.0	--	--
120927A	2456198.44498	43.0	--	--
120923A	2456193.71951	27.2	--	--
120922A	2456193.43782	173.0	3.1 (MPG/ESO :photometric)	 GCN 13810 (MPG/ESO)
120918A	2456188.96956	25.1	--	--
120913B	2456184.4972	126.0	--	--
120913A	2456184.34608	30.1	--	--
120911A	2456181.7976	17.8	--	--
120907A	2456177.51693	16.9	0.970 (OSIRIS/GTC: absorption)	 GCN 13723 (OSIRIS/GTC)
120819A	2456159.04877	71.0	--	--
120817A	2456156.78451	28.2	--	--
120816A	2456156.30456	7.6	--	--
120815A	2456154.59303	9.7	2.358 (VLT/X-shooter: absorption)	 GCN 13649 (VLT/X-shooter)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_387_1.pdf">GCN Report 387.1</a
120811C	2456151.14921	26.8	2.671 (GTC: absorption)<br>2.67 {NOT: absorption)	 GCN 13628 (GTC); GCN 13632 (NOT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_378_1.pdf">GCN Report 378.1</a
120811A	2456150.60785	166.0	--	--
120807A	2456146.79834	20.0	--	--
120805A	2456145.39455	48.0	3.1 (arXiv:1503.05323v1)	 arXiv:1503.05323v1
120804A	2456143.53766	0.81	--	--
120803B	2456142.96257	37.5	--	--
120803A	2456142.80713	10.0	--	--
120802A	2456141.83392	50.0	3.796 (Gemini-North: absorption)	 GCN 13562 (Gemini-North)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_380_1.pdf">GCN Report 380.1</a
120729A	2456137.95572	71.5	0.80 (Gemini-North: absorption)	 GCN 13532 (Gemini-North)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_384_1.pdf">GCN Report 384.1</a
120728A	2456137.43416	22.06	--	--
120724A	2456132.77711	72.8	1.48 (Gemini-North: absorption, tentative)	 GCN 13512 (Gemini-North)<br><strong>Host:</strong> GCN 13520 (AZT-22)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_386_1.pdf">GCN Report 386.1 </a
120722A	2456131.03711	42.4	0.9586 (VLT: emission from host)	 GCN 13507 (VLT)<br><strong>Host:</strong> GCN 13507 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_382_1.pdf">GCN Report 382.1</a
120714B	2456123.38804	159.0	0.3984 (VLT: absorption)	 GCN 13477 (VLT)
120714A	2456122.82414	16.2	--	--
120712A	2456121.07115	14.7	4.0 (MPG/ESO: photo-z)<br>4.15 (Gemini-South: absorption)<br> 4.1745 (VLT: absorption)	 GCN 13457 (MPG/ESO); GCN 13458 (Gemini-South); GCN 13460 (VLT)
120711B	2456119.63267	60.0	--	--
120703A	2456112.22595	25.2	--	--
120612A	2456090.58703	90.0	--	--
120521C	2456069.47369	26.7	~6.0 (Gemini-North: redshift estimate)	 GCN 13348 (Gemini-North)
120521B	2456068.88042	31.4	--	--
120521A	2456068.74979	0.45	--	--
120514A	2456061.55057	164.4	--	--
120422A	2456039.80003	5.35	0.28 (Gemini-North: emission)<br>0.283 (VLT: emission)	 GCN 13251 (Gemini-North); GCN 13257 (VLT)
120404A	2456022.03544	38.7	2.876 (Gemini-North: absorption)<br>~2.88 (VLT/UT2: absorption)	 GCN 13213 (Gemini-North); GCN 13217 (Gemini-North); GCN 13227 (VLT/UT2)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_372_1.pdf">GCN Report 372.1</a
120403B	2456021.3569	7.3	--	--
120403A	2456020.54541	1.25	--	--
120328A	2456014.62939	24.2	--	--
120327A	2456013.62171	62.9	2.81 (Gemini-South: absorption)<br>2.813 (VLT/UT2: absorption)<br> 2.813 (GTC: absorption)	 GCN 13133 (Gemini-South); GCN 13134 (VLT/UT2); GCN 13146 (GTC)
120326A	2456012.55589	69.6	1.798 (GTC: absorption)	 GCN 13118 (GTC)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_409_1.pdf">GCN Report 409.1</a
120324A	2456010.74943	118.0	--	--
120320A	2456006.9974	25.74	--	--
120312A	2455999.17116	14.2	--	--
120311B	2455998.13067	28.2	--	--
120311A	2455997.73169	3.5	--	--
120308A	2455994.75947	60.6	--	--
120305A	2455992.31771	0.1	--	--
120229A	2455987.10777	0.22	--	--
120224A	2455981.6944	8.13	--	--
120219A	2455977.10426	90.5	--	--
120218A	2455975.53428	27.5	--	--
120215A	2455972.52865	26.5	--	--
120213A	2455970.51897	48.9	--	--
120212A	2455969.88289	5.52	--	--
120211A	2455968.99894	61.7	--	--
120121A	2455947.90439	26.1	--	--
120119A	2455945.66979	253.8	1.728 (Gemini-South: absorption)<br>1.73 (Lick: absorption)<br>1.728 (MMT: absorption)	 GCN 12865 (Gemini-South); GCN 12866 (Lick); GCN 12867 (MMT)
120118B	2455945.20858	23.26	2.943 (Keck I: emission)	 GCN 14225 (VLT)<br><strong>Host:</strong> GCN 14225 (Keck I)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_373_1.pdf">GCN Report 373.1</a
120116A	2455943.25449	41.0	--	--
120106A	2455933.09472	61.6	--	--
120102A	2455928.59439	38.7	--	--
111229A	2455925.44296	25.4	1.3805 (Gemini-South: absorption)	 GCN 12777 (Gemini-South)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_353_1.pdf">GCN Report 353.1</a
111228A	2455924.15605	101.2	0.714 (MMT: absorption)<br>0.716 (Gemini-South: absorption)<br> 0.7156 (TNG: absorption)<br>0.713 (NOT: absorption)<br>0.71627 (VLT: absorption)	 GCN 12759 (MMT); GCN 12761 (Gemini-South); GCN 12764 (NOT); GCN12770 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_367_1.pdf">GCN Report 367.1</a
111225A	2455920.66015	106.8	0.297 (GTC: absorption)	 GCN 16079 (GTC)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_408_1.pdf">GCN Report 408.1</a
111215A	2455911.0862	796.0	--	--
111210A	2455906.10906	2.52	--	--
111207A	2455903.09513	3.0	--	--
111204A	2455900.06769	48.0	--	--
111129A	2455895.17933	7.6	--	--
111126A	2455892.29007	0.8	--	--
111123A	2455889.25927	290.0	3.1516 (VLT: emission from host)	 GCN 14273 (VLT)<br><strong>Host:</strong> GCN 14273 (Keck I)
111121A	2455887.185	119.0	--	--
111117A	2455883.0095	0.47	--	--
111109A	2455874.62345	13.0	--	--
111107A	2455872.535	26.6	2.893 (Gemini-South: absorption)<br> Consistent with Gemini-South (VLT: absorption)	 GCN 12537 (Gemini-South); GCN 12542 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_351_1.pdf">GCN Report 351.1</a
111103B	2455868.95767	167.0	--	--
111103A	2455868.94112	11.6	--	--
111029A	2455863.90602	7.6	--	--
111026A	2455860.78297	3.62	--	--
111022B	2455857.21741	79.1	--	--
111022A	2455857.17157	24.7	--	--
111020A	2455854.77348	0.4	--	--
111018A	2455853.22667	36.0	--	--
111016A	2455851.27574	550.0	--	--
111008A	2455843.42567	63.46	5.0 (Gemini-South: absorption)<br>4.9898 (VLT: absorption)	 GCN 12429 (Gemini-South); GCN 12431 (VLT)
111005A	2455839.83697	26.0	--	--
110928A	2455832.57744	26.7	--	--
110921A	2455826.07731	48.0	--	--
110915A	2455820.05606	78.76	--	--
110827A	2455800.5013	8.5	--	--
110820A	2455794.23503	256.0	--	--
110818A	2455792.35959	103.0	3.36 (VLT: absorption)	 GCN 12284 (VLT)
110808A	2455781.76313	48.0	1.348 (VLT: emission)	 GCN 12258 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_341_1.pdf">GCN Report 341.1</a
110801A	2455775.32618	385.0	1.858 (GTC: absorption)	 GCN 12234 (GTC)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_346_1.pdf">GCN Report 346.1</a
110731A	2455773.96493	38.8	2.83 (Gemini-North: absorption)	 GCN 12225 (Gemini-North)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_343_1.pdf">GCN Report 343.1</a
110726A	2455768.56296	5.2	1.036 < z < 2.7 (Gemini-North)	 GCN 12202 (Gemini-North)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_375_1.pdf">GCN Report 375.1</a
110719A	2455761.75638	41.0	--	--
110715A	2455758.05127	13.0	0.82 (VLT: absorption)	 GCN 12164 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_340_1.pdf">GCN Report 340.1</a
110709B	2455752.39767	55.6	--	--
110709A	2455752.142	44.7	--	--
110625A	2455738.38088	44.5	--	--
110610A	2455723.13995	46.4	--	--
110530A	2455712.14655	19.6	--	--
110521A	2455703.16078	13.8	--	--
110520A	2455702.35333	15.7	--	--
110519A	2455700.59185	27.2	--	--
110503A	2455685.23316	10.0	1.613 (GTC: absorption)<br>1.61 (TNG: absorption), PAIRITEL (1.3m)	 GCN 11993 (GTC); GCN 11997 (TNG)
110422A	2455674.15411	25.9	1.77 (TNG: absorption)<br> 1.770 (GTC: absorption)	 GCN 11977 (TNG); GCN 11978 (GTC)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_362_1.pdf">GCN Report 362.1</a
110420B	2455672.44596	0.084	--	--
110420A	2455671.96	11.8	--	--
110414A	2455665.821	152.0	--	--
110412A	2455663.81483	23.4	--	--
110411A	2455663.31541	80.3	--	--
110407A	2455659.08797	145.0	--	--
110402A	2455653.50899	60.9	--	--
110319B	2455640.3153	14.5	--	--
110319A	2455639.59492	19.3	--	--
110318B	2455639.14385	4.8	--	--
110318A	2455639.05161	16.0	--	--
110315A	2455636.49796	77.0	--	--
110312A	2455633.24696	28.7	--	--
110305A	2455625.7764	12.0	--	--
110223B	2455616.39292	54.0	--	--
110223A	2455616.37291	7.0	--	--
110213A	2455605.72047	48.0	1.46 (Bok: absorption)	 GCN 11708 (Bok)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_323_1.pdf">GCN Report 323.1</a
110212A	2455604.54801	3.3	--	--
110210A	2455602.91159	233.0	--	--
110208A	2455601.38248	37.4	--	--
110207A	2455599.97037	80.3	--	--
110205A	2455597.5852	257.0	1.98 (Lick: absorption, possible)<br>2.22 (FLWO: absorption, host)<br> 2.22 (NOT: absorption)	 GCN 11635 (Lick); GCN 11638 (FLWO); GCN 11640 (NOT)
110201A	2455593.8994	13.0	--	--
110128A	2455589.5726	30.7	2.339 (VLT: absorption)	 GCN 11607 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_316_1.pdf">GCN Report 316.1</a
110119A	2455581.43123	208.0	--	--
110112A	2455573.67521	0.5	--	--
110106B	2455568.39325	24.8	--	--
110106A	2455568.14255	4.3	--	--
110102A	2455564.2864	264.0	--	--
101225A	2455556.27622	1088.0	0.847(arXiv:1302.2352v1)<br>0.40 (Keck I: emission)	 GCN 11522 (Keck I); arXiv:1302.2352v1<br><strong>Host:</strong> GCN 11519 (NOT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_314_1.pdf">GCN Report 314.1</a
101224A	2455554.72723	0.2	--	--
101219B	2455550.18603	34.0	0.5519 (ESO-VLT: tentative redshift)	 GCN 11579 (ESO-VLT)<br><strong>Host:</strong> GCN 11575 (Swift-UVOT)
101219A	2455549.6052	0.6	0.718 (Gemini-North: emission, host)	 GCN 11518 (Gemini-North)<br><strong>Host:</strong> GCN 11464; GCN 11468 (Gemini-South); GCN 11469 (Magellan); GCN 11518 (Gemini-North)
101213A	2455543.95096	135.0	--	--
101129A	2455530.15244	0.35	--	--
101117B	2455518.30096	5.2	--	--
101030A	2455500.16422	92.0	--	--
101024A	2455493.98576	18.7	--	--
101023A	2455493.45153	80.8	--	--
101020A	2455490.48659	175.0	--	--
101017A	2455486.93943	70.0	--	--
101011A	2455481.20735	71.5	--	--
101008A	2455478.1967	104.0	--	--
100928A	2455467.59713	3.3	--	--
100924A	2455463.66537	96.0	--	--
100917A	2455456.71071	66.0	--	--
100915A	2455454.56325	200.0	--	--
100906A	2455446.07601	114.4	1.727 (Gemini-North: absorption)	 GCN 11230 (Gemini-North)
100905A	2455445.13072	3.4	--	--
100904A	2455443.56508	31.3	--	--
100902A	2455442.31382	428.8	4.5 (Swift XRT: tentative redshift)	 GCN 11195 (Swift-XRT)
100901A	2455441.06539	439.0	1.408 (Gemini-North: absorption, host redshift)	 GCN 11164 (Gemini-North)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_304_1.pdf">GCN Report 304.1</a
100823A	2455432.2261	16.9	--	--
100816A	2455424.52628	2.9	0.8034 (VLT: emission and absorption)<br>0.8035 (Gemini-North: absorption)<br>0.8049 (GTC: absorption)	 GCN 11116 (Gemini-North); GCN 11123 (VLT & Gemini-North); GCN 11125 (GTC)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_300_1.pdf">GCN Report 300.1</a
100814A	2455422.65985	174.5	1.44 (Magellan: absorption)	 GCN 11089 (Magellan)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_303_1.pdf">GCN Report 303.1</a
100807A	2455415.88418	7.9	--	--
100805A	2455413.67549	15.0	--	--
100802A	2455410.74	487.0	--	--
100728B	2455405.93883	12.1	~2.8 (UVOT: photometric)<br>2.106 (VLT: absorption)	 GCN 11026 (UVOT); GCN 11317 (VLT)
100728A	2455405.59611	198.5	1.567 (VLT: emission, host)	 GCN 14500 (VLT)<br><strong>Host:</strong> GCN 14500 (GROND)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_294_1.pdf">GCN Report 294.1</a
100727A	2455404.7377	84.0	--	--
100725B	2455402.97539	200.0	--	--
100725A	2455402.8006	141.0	--	--
100724A	2455401.52939	1.4	1.288 (VLT: absorption)	 GCN 10971 (VLT)
100719A	2455396.64649	36.0	--	--
100704A	2455381.6494	197.5	3.6 (Swift: tentative redshift)	 GCN 10940 (Swift-XRT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_293_1.pdf">GCN Report 293.1</a
100702A	2455379.54429	0.16	--	--
100628A	2455375.84491	0.036	--	--
100625A	2455373.27255	0.33	--	--
100621A	2455368.62745	63.6	0.542 (VLT: emission)	 GCN 10876 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_291_1.pdf">GCN Report 291.1</a
100619A	2455366.51466	97.5	--	--
100615A	2455362.58267	39.0	1.398 (VLT: emission, host)	 GCN 14264 (VLT)<br><strong>Host:</strong> GCN 14264 (HST, VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_285_1.pdf">GCN Report 285.1</a
100614A	2455362.40169	225.0	--	--
100606A	2455354.30047	480.0	--	--
100526B	2455343.29211	64.0	--	--
100526A	2455343.18484	102.0	--	--
100522A	2455338.65685	35.3	--	--
100513A	2455329.58829	84.0	4.772 (Gemini North: absorption)	 GCN 10752 (Gemini North)
100508A	2455324.88937	52.0	--	--
100504A	2455321.30624	97.3	--	--
100425A	2455311.61858	37.0	1.755 (VLT: absorption)	 GCN 10684 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_279_1.pdf">GCN Report 279.1</a
100424A	2455311.18938	104.0	2.465 (VLT: emission, host)	 GCN 14291 (VLT)<br><strong>Host:</strong> GCN 14291 (Keck I)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_280_1.pdf">GCN Report 280.1</a
100420A	2455306.7241	48.0	--	--
100418A	2455305.38204	7.0	0.6235 (VLT: absorption)<br>0.624 (Gemini North: absorption)	 GCN 10620 (VLT); GCN 10624 (Gemini North)<br><strong>Host:</strong> GCN 10621 (SDSS)
100413A	2455300.23157	191.0	3.9 (Swift-XRT: tentative)	 GCN 10588 (Swift-XRT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_276_1.pdf">GCN Report 276.1</a
100316C	2455271.8736	9.3	--	--
100316B	2455271.83444	3.8	1.180 (VLT: absorption)	 GCN 10495 (VLT)
100316A	2455271.59931	7.0	--	--
100305A	2455260.87891	69.7	--	--
100302A	2455258.32854	17.9	4.813 (Gemini-North: absorption)	 GCN 10466 (Gemini-North)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_275_1.pdf">GCN Report 275.1</a
100219A	2455247.13595	18.8	4.5 (MPI/ESO: photometric)<br>4.6667 (VLT: absorption)<br>4.7 (Gemini South: absorption)	 GCN 10439 (MPI/ESO); GCN 10441 (VLT); GCN 10443 (Gemini South); GCN 10445 (VLT)<br><strong>Host:</strong> GCN 10433 (Palomar); GCN 10432 (UVOT)
100213B	2455241.45734	48.0	--	--
100213A	2455241.43597	2.4	--	--
100212A	2455240.08845	136.0	--	--
100206A	2455234.06256	0.12	--	--
100205A	2455232.67966	26.0	--	--
100119A	2455216.26765	23.8	--	--
100117A	2455214.37939	0.3	--	--
100111A	2455207.67557	12.9	--	--
091221	2455187.37005	68.5	--	--
091208B	2455173.90969	14.9	1.063 (Gemini North: absorption)<br>1.0633 (Keck I: absorption)	 GCN 10263 (Gemini North); GCN 10272 (Keck I)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_266_1.pdf">GCN Report 266.1</a
